unnamed: 2,unnamed: 11,source,geographic_area,indicator,service_type,residence,time_period,observation_value,geographic area,service type,type of school,unit of measure,obs_value,data_source,iso3,country,residence type,year,coverage,population,service level,residence_type,service_level,country_name,indicator_name,value
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2021.0,17.54951980792318,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2017.0,13.625573076230992,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2018.0,17.52701080432173,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2019.0,17.52701080432173,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2020.0,17.52701080432173,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2021.0,17.52701080432173,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2017.0,78.81140171368497,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2018.0,74.90996398559422,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2019.0,74.90996398559422,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2020.0,74.90996398559422,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2021.0,74.90996398559422,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2017.0,74.97749099639857,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2018.0,74.9549819927971,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2019.0,74.93247298919566,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2020.0,74.90996398559422,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2021.0,74.8874549819928,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2017.0,36.0296864540955,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2018.0,36.0296864540955,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2019.0,36.0296864540955,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2020.0,36.0296864540955,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2017.0,38.0,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2018.0,38.0,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2019.0,38.0,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2020.0,38.0,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2017.0,28.09999999999999,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2018.0,28.09999999999999,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2019.0,28.09999999999999,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2020.0,28.09999999999999,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2021.0,28.09999999999999,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2017.0,10.400000000000007,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2018.0,10.400000000000007,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2019.0,10.400000000000007,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2020.0,10.400000000000007,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2021.0,10.400000000000007,,,,,,,,,,,,,,,,,,
,,WASH_SCHOOLS_2015-2023.xlsx,,Proportion of schools with basic drinking water services,,Total,2016.0,,Sudan,Drinking Water,Primary schools,%,43.47345132743363,WHO/UNICEF Joint Monitoring Programme (2022),,,,,,,,,,,,
,,WASH_SCHOOLS_2015-2023.xlsx,,Proportion of schools with basic drinking water services,,Total,2017.0,,Sudan,Drinking Water,Primary schools,%,43.47345132743363,WHO/UNICEF Joint Monitoring Programme (2022),,,,,,,,,,,,
,,WASH_SCHOOLS_2015-2023.xlsx,,Proportion of schools with basic drinking water services,,Total,2018.0,,Sudan,Drinking Water,Primary schools,%,43.47345132743363,WHO/UNICEF Joint Monitoring Programme (2022),,,,,,,,,,,,
,,WASH_SCHOOLS_2015-2023.xlsx,,Proportion of schools with basic drinking water services,,Total,2019.0,,Sudan,Drinking Water,Primary schools,%,43.47345132743363,WHO/UNICEF Joint Monitoring Programme (2022),,,,,,,,,,,,
,,WASH_SCHOOLS_2015-2023.xlsx,,Proportion of schools with basic drinking water services,,Total,2020.0,,Sudan,Drinking Water,Primary schools,%,43.47345132743363,WHO/UNICEF Joint Monitoring Programme (2022),,,,,,,,,,,,
